titles,links,occupations,companies,specs
AI / Machine Learning Developer,https://wuzzuf.net/jobs/p/tx4xmetrgqdr-ai-machine-learning-developer-roboeyetec-cairo-egypt,Full TimeOn-site,Roboeyetec -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Machine Learning Developer · Machine Learning · AI · Software Development
Senior Machine Learning,https://wuzzuf.net/jobs/p/0jyhwlzc2mty-senior-machine-learning-zeidex-giza-egypt,Full TimeHybrid,Zeidex -,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Other · Machine Learning · Cloud Computing · PyTorch · Data Engineering
Blockchain Specialist,https://wuzzuf.net/jobs/p/cxabc2pkspay-blockchain-specialist-34ml-cairo-egypt,Full TimeHybrid,34ML -,Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Software Development · Software Engineering · Computer Science · CI/CD · AI · Machine Learning · AWS · Docker · Kubernetes
Math Teacher - Secondary,https://wuzzuf.net/jobs/p/vzq0ogyiabjf-math-teacher-secondary-ra-sport-cairo-egypt,Full TimeOn-site,Ra Sport -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Education/Teaching · Teaching · Machine Learning · Math
Data Scientist,https://wuzzuf.net/jobs/p/rdal4e1kn3ch-data-scientist-cairo-egypt,Full TimeRemote,Confidential -,Full TimeRemoteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Machine Learning · Python · Statistical Modeling · R · 3D Imaging · Medical Imaging · Data Visualization
Senior Quantitative Analyst,https://wuzzuf.net/jobs/p/4rlbt7smavko-senior-quantitative-analyst-cairo-egypt,Full TimeRemote,Confidential -,"Full TimeRemoteExperienced · 7+ Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Statistical Analysis · Machine Learning · Programming (Python, R, C++, MATLAB) · Quantitative Research · Backtesting · Risk Management · Data Analysis"
Senior AI Engineer,https://wuzzuf.net/jobs/p/sbfgqgst16xi-senior-ai-engineer-wuzzuf-cairo-egypt,Full TimeHybrid,WUZZUF -,Full TimeHybridExperienced · 6 - 12 Yrs of Exp · IT/Software Development · Artificial Intelligence (AI) · Large Language Models · Machine Learning · Cloud deployment
Senior Data Scientist – NLP & LLM Applications,https://wuzzuf.net/jobs/p/ondtwnsaagqe-senior-data-scientist-nlp-llm-applications-wuzzuf-cairo-egypt,Full TimeHybrid,WUZZUF -,Full TimeHybridExperienced · 6 - 12 Yrs of Exp · IT/Software Development · Artificial Intelligence (AI) · Machine Learning · Data Governance (DG) · ML Ops · LLMs · Large Language Model · Natural Language Processing (NLP) · Large Language Models (LLM)
Senior AI Engineer,https://wuzzuf.net/jobs/p/mhps5woalmsm-senior-ai-engineer-lumin-giza-egypt,Full TimeHybrid,Lumin -,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence (AI) · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch
Data Science Instructor,https://wuzzuf.net/jobs/p/f2mpxj1rzhp1-data-science-instructor-epsilonai-cairo-egypt,Full TimePart TimeFreelance / ProjectHybrid,EpsilonAI -,Full TimePart TimeFreelance / ProjectHybridEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI)
AI Researcher / AI Engineer,https://wuzzuf.net/jobs/p/xxac9og6lkka-ai-researcher-ai-engineer-arabian-data-cairo-egypt,Full TimeOn-site,Arabian Data -,Full TimeOn-siteStudent · 1+ Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Machine Learning · Natural Language Processing · Deep Learning · Artificial Intelligence · Computer Vision · Data Engineering · Statistical Modeling
Software Engineer,https://wuzzuf.net/jobs/p/tyn8ftlbyfyx-software-engineer-arabian-data-cairo-egypt,Full TimeOn-site,Arabian Data -,Full TimeOn-siteEntry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Data Engineering · Python · Machine Learning · ETL Processes · Front-End Development · front-end web development · Back-End Development
Maintenance CNC/Dental,https://wuzzuf.net/jobs/p/avuvptwjtl4k-maintenance-cncdental-emar-sharqia-egypt,Full TimeOn-site,EMAR -,"Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · CNC machine maintenance · Mechanical troubleshooting · Maintenance · Mechanical, Electrical, and Plumbing · Mechanical Engineering"
Technical Lead,https://wuzzuf.net/jobs/p/tzu6ytkkrbla-technical-lead-zeidex-cairo-egypt,Full TimeHybrid,Zeidex -,Full TimeHybridManager · 8 - 14 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Information Technology (IT) · Software · Software Development · Development · Engineering · Software Engineering · Architecture
AI Engineer - Travel Tech,https://wuzzuf.net/jobs/p/3rtefauicveg-ai-engineer-travel-tech-rahala-giza-egypt,Full TimeOn-site,Rahala -,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Computer Science · Data Science · Engineering · Information Technology (IT) · Machine Learning · Python
